"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"396" "Villoldo" "P04" "Villoldo" "043531000W" "421617000N" 801 368709 4681140 30 "2000-06-28T00:00:00" NA
"397" "Lantadilla" "P05" "Lantadilla" "041638000W" "422043000N" 798 394788 4688910 30 "2000-06-29T00:00:00" "2007-03-19T00:00:00"
"398" "Herrera de Pisuerga" "P06" "Herrera de Pisuerga" "041509000W" "422922000N" 808 397065 4704900 30 "2000-06-30T00:00:00" NA
"399" "Villaluenga de la Vega" "P07" "Villaluenga de la Vega" "044629000W" "423141000N" 917 354225 4709940 30 "2000-07-27T00:00:00" NA
"400" "Lantadilla" "P08" "Lantadilla" "041640000W" "422045000N" 792 394739 4688970 30 "2007-03-20T00:00:00" NA
"401" "Villaeles de Valdavia" "P101" "Villaeles de Valdavia" "043506000W" "423346000N" 885 369885 4713480 30 "2008-06-27T00:00:00" NA
"402" "Bárcena de Campos" "P102" "Bárcena de Campos" "042921206W" "422909440N" 855 377607.6 4704808.06 30 "2022-06-24T00:00:00" NA
"403" "Abia de las Torres" "P103" "Abia de las Torres" "042500814W" "422625359N" 822 383466.692 4699645.191 30 "2024-05-30T00:00:00" NA
"404" "Lomilla de Aguilar" "P104" "Aguilar de Campoo" "041740789W" "424532013N" 905 394061.71 4734853.46 30 "2022-12-15T00:00:00" NA
"405" "Ciudad Rodrigo" "SA01" "Ciudad Rodrigo" "063219000W" "403524000N" 616 200526 4499280 29 "2000-07-17T00:00:00" NA
"406" "Aldearrubia" "SA02" "Aldearrubia" "052905000W" "405910000N" 815 290959 4540210 30 "2000-07-18T00:00:00" "2008-01-30T00:00:00"
"407" "Aldearrubia" "SA03" "Aldearrubia" "052858000W" "405922000N" 797 291144 4540570 30 "2008-01-31T00:00:00" NA
"408" "Arabayona" "SA101" "Arabayona de Mógica" "052150000W" "410210000N" 851 301287 4545470 30 "2008-06-27T00:00:00" NA
"409" "Ejeme" "SA102" "Ejeme" "053150000W" "404703000N" 813 286463 4517880 30 "2008-06-27T00:00:00" NA
"410" "Los Palacios y Villafranca" "SE01" "Palacios y Villafranca, Los" "055620000W" "371044000N" 21 239078 4118790 30 "2000-10-04T00:00:00" "2007-07-24T00:00:00"
"411" "Las Cabezas de San Juan" "SE02" "Cabezas de San Juan, Las" "055304000W" "370056000N" 13 243351 4100490 30 "2000-10-04T00:00:00" NA
"412" "Lebrija I" "SE03" "Lebrija" "060734000W" "365835000N" 1 221723 4096850 29 "2000-10-05T00:00:00" NA
"413" "Lebrija 2" "SE04" "Lebrija" "060039000W" "365355000N" 40 231713 4087880 29 "2000-10-05T00:00:00" "2005-12-11T00:00:00"
"414" "Aznalcázar" "SE05" "Aznalcázar" "061624000W" "370906000N" 2 209287 4116730 29 "2000-10-24T00:00:00" NA
"415" "Villafranco del Guadalquivir" "SE06" "Isla Mayor" "060904000W" "370554000N" 45 219935 4110450 29 "2000-10-24T00:00:00" "2001-11-07T00:00:00"
"416" "La Puebla del Río" "SE07" "Puebla del Río, La" "060801000W" "371333000N" 3 221954 4124550 29 "2000-10-26T00:00:00" NA
"417" "La Puebla del Río II" "SE08" "Puebla del Río, La" "060247000W" "370448000N" 2 229178 4108110 29 "2000-10-26T00:00:00" NA
"418" "Ecija" "SE09" "Écija" "050437000W" "373534000N" 109 316625 4162680 30 "2000-11-13T00:00:00" NA
"419" "La Luisiana" "SE10" "Luisiana, La" "051341000W" "373130000N" 173 303108 4155460 30 "2000-11-14T00:00:00" NA
"420" "IFAPA Centro Las Torres-Tomejil. Finca Tomejil" "SE101" "Carmona" "053515000W" "372403000N" 75 270958 4142490 30 "2001-07-12T00:00:00" NA
"421" "Osuna" "SE11" "Osuna" "050805000W" "371518000N" 198 310675 4125300 30 "2000-11-14T00:00:00" NA
"422" "La Rinconada" "SE12" "Rinconada, La" "055529000W" "372724000N" 25 241295 4149570 30 "2000-11-15T00:00:00" NA
"423" "Sanlúcar La Mayor" "SE13" "Sanlúcar la Mayor" "061518000W" "372518000N" 63 211943 4146640 29 "2000-11-15T00:00:00" NA
"424" "Villanueva del Río y Minas" "SE14" "Villanueva del Río y Minas" "054102000W" "373646000N" 38 263096 4166270 30 "2000-11-16T00:00:00" "2010-02-23T00:00:00"
"425" "Lora del Río" "SE15" "Lora del Río" "053226000W" "373939000N" 44 275891 4171230 30 "2000-11-16T00:00:00" NA
"426" "Los Molares" "SE16" "Molares, Los" "054022000W" "371034000N" 77 262696 4117760 30 "2001-02-07T00:00:00" NA
"427" "Guillena" "SE17" "Guillena" "060351000W" "373052000N" 48 229175 4156370 29 "2001-04-04T00:00:00" NA
"428" "Puebla Cazalla" "SE18" "Puebla de Cazalla, La" "052103000W" "371305000N" 193 291408 4121660 30 "2001-04-04T00:00:00" NA
"429" "IFAPA  Centro Las Torres-Tomejil" "SE19" "Alcalá del Río" "055750000W" "373045000N" 12 238016 4155860 30 "2005-12-22T00:00:00" NA
"430" "Isla Mayor" "SE20" "Puebla del Río, La" "060716000W" "370649000N" 2 222653 4112040 29 "2004-08-09T00:00:00" NA
"431" "IFAPA Centro de Los Palacios" "SE21" "Palacios y Villafranca, Los" "055645000W" "371110000N" 10 238484 4119600 30 "2007-07-31T00:00:00" NA
"432" "Villanueva del Río y Minas" "SE22" "Villanueva del Río y Minas" "054119000W" "373533000N" 31 262609 4164000 30 "2011-04-12T00:00:00" NA
"433" "Gomezserracín" "SG01" "Gomezserracín" "041753000W" "411805000N" 813 391315 4573030 30 "2000-07-20T00:00:00" NA
"434" "Nava de la Asunción" "SG02" "Nava de la Asunción" "042835000W" "411018000N" 802 376146 4558880 30 "2000-07-20T00:00:00" NA
"435" "Almazán" "SO01" "Almazán" "023003000W" "412737000N" 950 541685 4590000 30 "1999-10-28T00:00:00" NA
"436" "San Esteban de Gormaz" "SO02" "San Esteban de Gormaz" "031309000W" "413355000N" 854 481714 4601560 30 "1999-10-28T00:00:00" NA
"437" "Fuentecantos" "SO03" "Fuentecantos" "022601000W" "414954000N" 1019 547013 4631260 30 "1999-11-25T00:00:00" NA
"438" "Hinojosa del Campo" "SO101" "Hinojosa del Campo" "020541000W" "414408000N" 1038 575261 4620820 30 "2004-05-12T00:00:00" NA
"439" "Calanda" "TE01" "Calanda" "001233000W" "405739000N" 437 734842 4538190 30 "2003-09-15T00:00:00" NA
"440" "Puig Moreno" "TE02" "Alcañiz" "001419000W" "410548000N" 323 731894 4553190 30 "2003-09-16T00:00:00" NA
"441" "Híjar" "TE03" "Híjar" "003145000W" "411255000N" 301 707114 4565610 30 "2004-02-10T00:00:00" NA
"442" "Monreal del Campo" "TE04" "Monreal del Campo" "012119000W" "404650000N" 947 638782 4515730 30 "2005-06-08T00:00:00" NA
"443" "Teruel" "TE05" "Teruel" "010957000W" "402049000N" 913 655755 4467910 30 "2005-06-08T00:00:00" NA
"444" "Villarquemado" "TE06" "Villarquemado" "011722000W" "403132000N" 989 644881 4487500 30 "2005-06-08T00:00:00" NA
"445" "Adeje - Arona" "TF01" "Adeje" "163948598W" "280053370N" 27 336443.04 3100000.72 28 "1999-12-27T00:00:00" "2012-09-10T00:00:00"
"446" "Guía de Isora" "TF02" "Guía de Isora" "165001000W" "281342000N" 89 320063 3123890 28 "1999-12-28T00:00:00" NA
"447" "Güímar" "TF03" "Güímar" "162259000W" "281904000N" 119 364407 3133180 28 "1999-12-28T00:00:00" NA
"448" "La Fuente - Buenavista del Norte" "TF04" "Buenavista del Norte" "165139000W" "282213000N" 77 317644 3139630 28 "1999-12-28T00:00:00" NA
"449" "San Sebastián de La Gomera" "TF05" "San Sebastián de la Gomera" "170726000W" "280610000N" 47 291329 3110410 28 "2000-11-20T00:00:00" NA
"450" "Hermigua" "TF06" "Hermigua" "171150000W" "281001000N" 146 284264 3117650 28 "2000-11-21T00:00:00" NA
"451" "Puerto de la Cruz" "TF07" "Puerto de la Cruz" "163204000W" "282438000N" 113 349676 3143660 28 "2000-11-22T00:00:00" NA
"452" "Frontera" "TF08" "Frontera" "180048000W" "274641000N" 34 203031 3076280 28 "2000-11-23T00:00:00" NA
"453" "Tazacorte" "TF09" "Tazacorte" "175459000W" "283547000N" 94 214780 3166760 28 "2000-11-24T00:00:00" "2012-10-03T00:00:00"
"454" "Los Llanos de Aridane" "TF10" "Llanos de Aridane, Los" "175536090W" "283911800N" 308 213926.686 3173078.175 28 "2000-11-24T00:00:00" NA
"455" "Los Llanos de Aridane II" "TF101" "Llanos de Aridane, Los" "175508000W" "283952000N" 383 214703 3174330 28 "2002-07-04T00:00:00" NA
"456" "Fuencaliente" "TF102" "Fuencaliente de la Palma" "175158000W" "282914000N" 73 219402 3154550 28 "2002-07-05T00:00:00" NA
"457" "Barlovento II" "TF103" "Barlovento" "174648000W" "285017000N" 57 228732 3193250 28 "2002-07-04T00:00:00" "2017-07-25T00:00:00"
"458" "Fuencaliente II" "TF104" "Fuencaliente de la Palma" "175207929W" "282905818N" 30 219134 3154280 28 "2002-11-21T00:00:00" "2007-01-25T00:00:00"
"459" "Valle Guerra-Isamar" "TF105" "San Cristóbal de La Laguna" "162315000W" "283044000N" 293 364204 3154750 28 "2005-12-21T00:00:00" NA
"460" "Valle Guerra-Pajalillos" "TF106" "San Cristóbal de La Laguna" "162316000W" "283140000N" 110 364205 3156480 28 "2008-04-11T00:00:00" NA
"461" "El Socorro" "TF107" "Breña Alta" "174623000W" "283924000N" 177 228946 3173100 28 "2009-01-12T00:00:00" NA
"462" "El Pico" "TF108" "San Cristóbal de La Laguna" "162212000W" "283129000N" 256 365950 3156100 28 "2009-07-30T00:00:00" NA
"463" "Garimba" "TF109" "San Cristóbal de La Laguna" "162321000W" "283021000N" 493 364051 3154030 28 "2009-07-29T00:00:00" NA
"464" "Barlovento" "TF11" "Barlovento" "174647000W" "284942000N" 110 228745 3192170 28 "2000-11-24T00:00:00" NA
"465" "Puntallana - Vivero" "TF110" "Puntallana" "174410590W" "284434790N" 306 232775.46 3182582.45 28 "2017-07-26T00:00:00" NA
"466" "Arico" "TF111" "Arico" "162819730W" "280751620N" 135 355421 3112590 28 "2021-01-01T00:00:00" NA
"467" "Las Galletas Aire Libre" "TF112" "Arona" "163909690W" "280223490N" 93 337550 3102719 28 "2021-01-01T00:00:00" NA
"468" "Las Galletas Invernadero" "TF113" "Arona" "163909630W" "280225130N" 95 337553 3102769 28 "2021-02-24T00:00:00" NA
"469" "Guía de Isora Aire Libre" "TF114" "Guía de Isora" "164722730W" "281252100N" 476 324373 3122251 28 "2021-02-24T00:00:00" NA
"470" "Guía de Isora Invernadero" "TF115" "Guía de Isora" "164723350W" "281251520N" 473 324354 3122240 28 "2021-02-24T00:00:00" NA
"471" "La Orotava - El Rincón" "TF116" "Orotava, La" "163051570W" "282423660N" 214 351661 3143174 28 "2021-02-24T00:00:00" NA
"472" "Arico - El Helecho" "TF117" "Arico" "162926412W" "281301142N" 930 353719 3122139 28 "2021-04-16T00:00:00" NA
"473" "Ravelo" "TF118" "Tacoronte" "162430551W" "282713923N" 922 362091 3148289 28 "2021-04-16T00:00:00" NA
"474" "Tejina Aire Libre" "TF119" "San Cristóbal de La Laguna" "162343940W" "283156500N" 69 363460 3156971 28 "2021-02-24T00:00:00" NA
"475" "Tazacorte" "TF12" "Tazacorte" "175452000W" "283542000N" 70 214954 3166610 28 "2012-10-04T00:00:00" "2020-05-08T00:00:00"
"476" "Tejina Invernadero" "TF120" "San Cristóbal de La Laguna" "162344720W" "283157010N" 67 363439 3156987 28 "2021-02-24T00:00:00" NA
"477" "La Guancha" "TF121" "Icod de los Vinos" "164405150W" "282244550N" 17 330020 3140415 28 "2021-02-24T00:00:00" NA
"478" "Vilaflor" "TF122" "Vilaflor" "163741039W" "280839188N" 1258 340126 3114250 28 "2021-04-16T00:00:00" NA
"479" "Güímar - Toponegro" "TF123" "Güímar" "162420522W" "281935261N" 291 362199.1 3134169.24 28 "2021-04-16T00:00:00" NA
"480" "Arico_2" "TF124" "Arico" "162918270W" "281019936N" 441 353880.07 3117174.77 28 "2021-04-16T00:00:00" NA
"481" "Tegueste" "TF125" "Tegueste" "162128998W" "283025289N" 360 367096 3154122 28 "2021-04-16T00:00:00" NA
"482" "Icod - Llanito Perera" "TF126" "Icod de los Vinos" "164140768W" "282153138N" 421 333928.04 3138776.87 28 "2021-04-16T00:00:00" NA
"483" "La Orotava - Ratiño" "TF127" "Orotava, La" "163239431W" "282258161N" 365 348691.75 3140580.23 28 "2021-04-16T00:00:00" NA
"484" "Gúímar - Morra del Tanque" "TF128" "Arafo" "162559778W" "282031010N" 713 359516.36 3135916.82 28 "2021-04-16T00:00:00" NA
"485" "Los Silos - Tierra del Trigo" "TF129" "Silos, Los" "164812817W" "282105624N" 537 323232.12 3137469.2 28 "2021-04-16T00:00:00" NA
"486" "Las Galletas" "TF13" "Arona" "164049950W" "280218980N" 68 334810.43 3102617.98 28 "2014-09-30T00:00:00" NA
"487" "Santa Úrsula - Los Castaños" "TF130" "Santa Úrsula" "162940969W" "282437712N" 564 353587.49 3143582.99 28 "2021-04-16T00:00:00" NA
"488" "Santiago del Teide - El Hoyo" "TF131" "Santiago del Teide" "164814286W" "281815822N" 992 323114.01 3132243.15 28 "2021-04-16T00:00:00" NA
"489" "Buenavista - El Palmar" "TF132" "Buenavista del Norte" "165109779W" "282017218N" 561 318390.51 3136052.23 28 "2021-04-16T00:00:00" NA
"490" "Tacoronte" "TF133" "Tacoronte" "162339346W" "282834503N" 644 363512.59 3150752.86 28 "2021-04-16T00:00:00" NA
"491" "La Matanza" "TF134" "Matanza de Acentejo, La" "162616765W" "282658029N" 650 359196 3147834 28 "2021-04-16T00:00:00" NA
"492" "La Victoria" "TF135" "Victoria de Acentejo, La" "162700225W" "282516165N" 825 357976 3144713 28 "2021-04-16T00:00:00" NA
"493" "La Orotava - La Suerte" "TF136" "Orotava, La" "163230109W" "282226183N" 526 348932.89 3139592.73 28 "2021-04-16T00:00:00" NA
"494" "Benijos" "TF137" "Orotava, La" "163247126W" "282140243N" 925 348451.51 3138184.7 28 "2021-04-16T00:00:00" NA
"495" "Palo Blanco" "TF138" "Realejos, Los" "163438113W" "282206554N" 601 345440.4 3139033.66 28 "2021-04-16T00:00:00" NA
"496" "Icod - Redondo" "TF139" "Icod de los Vinos" "164153952W" "282103940N" 639 333547.77 3137267.59 28 "2021-04-16T00:00:00" NA
"497" "Tijarafe" "TF14" "Tijarafe" "175707830W" "284050890N" 431 211510 3176191 28 "2020-10-01T00:00:00" NA
"498" "Guía de Isora - Chio" "TF140" "Guía de Isora" "164721270W" "281400736N" 736 324442.11 3124370.01 28 "2021-04-16T00:00:00" NA
"499" "Guía de Isora - Los Llanitos" "TF141" "Guía de Isora" "164509698W" "281323119N" 1034 328011.99 3123159.72 28 "2021-04-16T00:00:00" NA
"500" "Guía de Isora - El Pozo" "TF142" "Guía de Isora" "164547142W" "281200682N" 708 326954.25 3120637.13 28 "2021-04-16T00:00:00" NA
"501" "Granadilla - Pinalete" "TF143" "Granadilla de Abona" "163621170W" "280737188N" 880 342279.72 3112312.74 28 "2021-04-16T00:00:00" NA
"502" "Granadilla - Charco del pino" "TF144" "Granadilla de Abona" "163504612W" "280556457N" 522 344328.24 3109185.01 28 "2021-04-16T00:00:00" NA
"503" "Güímar - Badajoz" "TF145" "Güímar" "162535861W" "281805347N" 435 360114.65 3131425.95 28 "2021-04-16T00:00:00" NA
"504" "Güímar - Lomo de Mena" "TF146" "Güímar" "162511230W" "281610946N" 517 360744.25 3127897.08 28 "2021-04-16T00:00:00" NA
"505" "Santa Úrsula - Media" "TF147" "Santa Úrsula" "162839349W" "282503272N" 530 355274 3144349 28 "2021-04-16T00:00:00" NA
"506" "Santa Úrsula - Baja" "TF148" "Santa Úrsula" "162925837W" "282558131N" 205 354029.94 3146053.07 28 "2021-04-16T00:00:00" NA
"507" "Arico - Icor" "TF149" "Arico" "162722321W" "281224234N" 372 357088.33 3120961.93 28 "2021-04-16T00:00:00" NA
"508" "El Rosario" "TF150" "Rosario, El" "162018120W" "282726311N" 654 368961.58 3148591.83 28 "2021-04-16T00:00:00" NA
"509" "La Orotava - Aguamansa" "TF151" "Orotava, La" "162949206W" "282141541N" 1064 353295.96 3138163.52 28 "2021-04-16T00:00:00" NA
"510" "Ruígomez - Galería del Cubo" "TF152" "Santa Cruz de Tenerife" "164740575W" "282020543N" 880 324089.43 3136068.48 28 "2021-04-16T00:00:00" NA
"511" "Adeje - Hoya Grande Aire Libre" "TF153" "Adeje" "164646440W" "280833910N" 132 325244 3114296 28 "2021-02-24T00:00:00" NA
"512" "Adeje - Hoya Grande Invernadero" "TF154" "Adeje" "164645570W" "280834420N" 135 325268 3114311 28 "2021-02-24T00:00:00" NA
"513" "Guía de Isora - Alcalá" "TF155" "Guía de Isora" "164946410W" "281239620N" 29 320448 3121932 28 "2021-02-24T00:00:00" NA
"514" "Candelaria - Araya" "TF156" "Candelaria" "162350953W" "282213801N" 526 363060.89 3139039.33 28 "2021-04-16T00:00:00" NA
"515" "Taganana" "TF157" "Santa Cruz de Tenerife" "161340740W" "283335693N" 305 379886.4 3159844.95 28 "2021-04-16T00:00:00" NA
"516" "Igueste" "TF158" "Santa Cruz de Tenerife" "160926165W" "283156188N" 79 386774.28 3156713.65 28 "2021-04-16T00:00:00" NA
"517" "Buenavista" "TF159" "Buenavista del Norte" "165045170W" "282252240N" 70 319134 3140813 28 "2021-02-24T00:00:00" NA
"518" "Los Silos Aire Libre" "TF160" "Silos, Los" "164920180W" "282233630N" 50 321439 3140205 28 "2021-02-24T00:00:00" NA
"519" "Los Silos Invernadero" "TF161" "Silos, Los" "164918350W" "282233730N" 51 321489 3140208 28 "2021-02-24T00:00:00" NA
"520" "Realejos - Icod el Alto" "TF162" "Realejos, Los" "163651341W" "282222647N" 800 341820 3139577 28 "2021-04-16T00:00:00" NA
"521" "Fasnia - Eres" "TF163" "Fasnia" "162502470W" "281346869N" 105 360931 3123460 28 "2021-04-16T00:00:00" NA
"522" "La Laguna" "TF164" "San Cristóbal de La Laguna" "161910608W" "282840601N" 559 370823 3150858 28 "2021-04-16T00:00:00" NA
"523" "Puerto Naos" "TF165" "Llanos de Aridane, Los" "175426080W" "283456860N" 21 215639.82 3165273 28 "2020-09-30T00:00:00" NA
"524" "Vegas de San Antonio" "TO01" "Pueblanueva, La" "044159000W" "395721000N" 388 354803 4424260 30 "1999-10-15T00:00:00" NA
"525" "Magán" "TO02" "Magán" "035620000W" "395616000N" 471 419783 4421300 30 "1999-10-15T00:00:00" "2003-10-29T00:00:00"
"526" "Calera y chozas" "TO03" "Calera y Chozas" "045807000W" "395212000N" 387 331630 4415200 30 "1999-11-24T00:00:00" NA
"527" "Los Navalmorales" "TO04" "Navalmorales, Los" "043925000W" "394321000N" 717 357973 4398280 30 "2000-09-20T00:00:00" NA
"528" "Alcolea de Tajo" "TO05" "Alcolea de Tajo" "050827000W" "394852000N" 365 316736 4409360 30 "2000-09-21T00:00:00" NA
"529" "Mora" "TO06" "Mora" "034611000W" "394037000N" 754 433977 4392190 30 "2000-09-21T00:00:00" "2007-02-19T00:00:00"
"530" "Recas" "TO07" "Recas" "035841000W" "400322000N" 589 416575 4434450 30 "2000-09-22T00:00:00" NA
"531" "Villarrubia de Santiago" "TO08" "Villarrubia de Santiago" "032003000W" "400205000N" 546 471476 4431690 30 "2000-10-09T00:00:00" NA
"532" "La Rinconada" "TO09" "Puebla de Montalbán, La" "042413000W" "394955000N" 411 379873 4410060 30 "2000-10-30T00:00:00" NA
"533" "La Puebla de Almoradiel" "TO10" "Puebla de Almoradiel, La" "030809000W" "393632000N" 680 488335 4384360 30 "2000-10-31T00:00:00" NA
"534" "Magán" "TO11" "Magán" "035632000W" "395606000N" 504 419484 4420980 30 "2004-05-20T00:00:00" NA
"535" "Mora" "TO12" "Mora" "034621000W" "393952000N" 734 433719 4390830 30 "2007-02-20T00:00:00" NA
"536" "Pedralba" "V01" "Pedralba" "004303000W" "393401000N" 229 696061 4382190 30 "1999-10-20T00:00:00" NA
"537" "Llíria" "V02" "Llíria" "003737000W" "394127000N" 232 703474 4396160 30 "1999-10-20T00:00:00" NA
"538" "Turís" "V03" "Turís" "004108000W" "392357000N" 299 699288 4363650 30 "1999-10-21T00:00:00" "2012-03-31T00:00:00"
"539" "Benifaió" "V04" "Benifaió" "002742000W" "391650000N" 48 718925 4350990 30 "1999-10-21T00:00:00" NA
"540" "Cheste" "V05" "Cheste" "004439000W" "393108000N" 315 693888 4376790 30 "1999-11-03T00:00:00" NA
"541" "Tavernes de Valldigna" "V06" "Tavernes de la Valldigna" "001416000W" "390543000N" 0 738862 4330980 30 "1999-11-03T00:00:00" NA
"542" "Villanueva de Castellón" "V07" "Villanueva de Castellón" "003127000W" "390356000N" 40 714192 4326970 30 "1999-11-04T00:00:00" NA
"543" "Xàtiva" "V08" "Xàtiva" "003036000W" "390050000N" 58 715566 4321280 30 "1999-11-04T00:00:00" "2000-08-16T00:00:00"
"544" "Sagunto" "V09" "Bèlgida" "001558000W" "393851000N" 24 734558 4392210 30 "1999-11-17T00:00:00" "2000-03-10T00:00:00"
"545" "Benavites" "V10" "Benavites" "001258000W" "394349000N" 2 738572 4401540 30 "1999-11-18T00:00:00" NA
"546" "Moncada IVIA" "V101" "Moncada" "002356257W" "393515825N" 61 723368 4385233 30 "1999-01-19T00:00:00" NA
"547" "Moncada malla" "V1010" "Moncada" "002339431W" "393524139N" 35 723762 4385501 30 "1999-04-01T00:00:00" "2012-04-22T00:00:00"
"548" "Carcaixent EEA" "V102" "Carcaixent" "002646197W" "390648975N" 21 720802 4332489 30 "1999-02-24T00:00:00" NA
"549" "Carcaixent EEA Invernadero" "V1020" "Carcaixent" "002703885W" "390706454N" 35 720362 4333016 30 "2008-06-09T00:00:00" "2009-09-26T00:00:00"
"550" "Carlet CE Coop" "V103" "Carlet" "003245406W" "391335112N" 64 711835 4344773 30 "1999-03-02T00:00:00" NA
"551" "Carlet malla" "V1030" "Carlet" "003142598W" "391359114N" 35 713321 4345554 30 "1999-06-01T00:00:00" "2010-11-30T00:00:00"
"552" "Llutxent EEA" "V104" "Llutxent" "002136297W" "385618629N" 297 728810 4313267 30 "1999-03-03T00:00:00" NA
"553" "Requena Roma" "V105" "Requena" "010815337W" "392911858N" 692 660164 4372436 30 "1999-07-27T00:00:00" "2001-12-18T00:00:00"
"554" "Requena Cerrito" "V106" "Requena" "011356598W" "393016802N" 746 651972 4374274 30 "1999-07-27T00:00:00" NA
"555" "Manises" "V107" "Manises" "002941952W" "392905009N" 73 715439 4373565 30 "2010-03-01T00:00:00" "2014-12-22T00:00:00"
"556" "Moncada2" "V108" "Valencia" "002344000W" "393517000N" 61 723368 4385233 30 "2015-12-01T00:00:00" NA
"557" "Algimia de Alfara" "V109" "Algimia de Alfara" "002136480W" "394560400N" 167 726167.9 4403529.62 30 "2017-02-07T00:00:00" NA
"558" "Puig" "V11" "Puig" "002102000W" "393709000N" 87 727420 4388860 30 "1999-11-18T00:00:00" "2000-04-03T00:00:00"
"559" "Pobla del Duc" "V12" "Pobla del Duc, la" "002356000W" "385406000N" 262 725548 4309110 30 "1999-11-25T00:00:00" "2002-02-07T00:00:00"
"560" "Navarrés" "V13" "Navarrés" "004044000W" "390447000N" 316 700765 4328200 30 "1999-11-25T00:00:00" "2003-05-13T00:00:00"
"561" "Algemesí" "V14" "Algemesí" "002607000W" "391259000N" 15 721413 4343930 30 "1999-11-26T00:00:00" NA
"562" "Campo Arcís" "V15" "Requena" "010943000W" "392600000N" 787 658167 4366480 30 "1999-11-26T00:00:00" NA
"563" "Bétera" "V16" "Bétera" "002806000W" "393551000N" 117 717362 4386170 30 "2001-01-23T00:00:00" "2007-02-28T00:00:00"
"564" "Picassent" "V17" "Picassent" "002951000W" "392144000N" 90 715588 4359990 30 "2001-01-24T00:00:00" NA
"565" "Montesa" "V18" "Montesa" "003818000W" "385716000N" 250 704640 4314380 30 "2001-01-25T00:00:00" NA
"566" "Xàtiva" "V19" "Xàtiva" "003258000W" "385955000N" 105 712192 4319500 30 "2001-01-24T00:00:00" NA
"567" "Sagunt" "V20" "Sagunto/Sagunt" "001737000W" "393853000N" 25 732200 4392210 30 "2001-01-23T00:00:00" NA
"568" "Campo Arcís" "V21" "Requena" "010953000W" "392604000N" 589 657938 4366610 30 "2001-01-22T00:00:00" NA
"569" "Villalonga" "V22" "Villalonga" "001215000W" "385331000N" 86 742476 4308520 30 "2001-03-07T00:00:00" NA
"570" "Gandia Marxuquera" "V23" "Gandia" "001502000W" "385751000N" 105 738207 4316410 30 "2001-03-21T00:00:00" NA
"571" "Polinyá de Xúquer" "V24" "Polinyà de Xúquer" "002146000W" "391140000N" 4 727749 4341700 30 "2004-07-29T00:00:00" "2015-04-09T00:00:00"
"572" "Bolbaite" "V25" "Bolbaite" "004124000W" "390409000N" 272 699829 4326990 30 "2006-07-07T00:00:00" NA
"573" "Bétera" "V26" "Bétera" "002804000W" "393554000N" 97 717423 4386260 30 "2008-02-13T00:00:00" NA
"574" "Chulilla" "V27" "Chulilla" "004956000W" "394036000N" 375 685917 4394130 30 "2008-04-22T00:00:00" NA
"575" "Godelleta" "V28" "Godelleta" "004037000W" "392517000N" 233 699949 4366120 30 "2013-11-25T00:00:00" NA
"576" "Bélgida" "V29" "Bèlgida" "002714000W" "385246000N" 233 720841 4306490 30 "2013-11-26T00:00:00" NA
"577" "Polinyà de Xúquer" "V30" "Polinyà de Xúquer" "002339780W" "391144070N" 12 725018 4341715 30 "2015-04-09T00:00:00" NA
"578" "Mayorga" "VA01" "Mayorga" "051717000W" "420902000N" 746 310946 4669050 30 "2000-07-05T00:00:00" NA
"579" "Torrecilla de la Orden" "VA02" "Torrecilla de la Orden" "051251000W" "411339000N" 774 314411 4566400 30 "2000-07-18T00:00:00" NA
"580" "Olmedo" "VA03" "Olmedo" "044110000W" "411837000N" 743 358841 4574600 30 "2000-07-19T00:00:00" NA
"581" "Valladolid" "VA04" "Valladolid" "044152000W" "414238000N" 714 358739 4619050 30 "2000-07-19T00:00:00" "2004-07-26T00:00:00"
"582" "Encinas de Esgueva" "VA05" "Encinas de Esgueva" "040609000W" "414601000N" 800 408359 4624500 30 "2000-07-26T00:00:00" NA
"583" "Tordesillas" "VA06" "Tordesillas" "045955000W" "412912000N" 671 333146 4594720 30 "2000-10-03T00:00:00" NA
"584" "Valbuena de Duero" "VA07" "Valbuena de Duero" "041603000W" "413836000N" 743 394425 4610960 30 "2000-10-09T00:00:00" NA
"585" "Medina de Rioseco" "VA08" "Medina de Rioseco" "050414000W" "415138000N" 731 328134 4636390 30 "2004-07-27T00:00:00" NA
"586" "Finca Zamadueñas" "VA101" "Valladolid" "044152000W" "414238000N" 714 358739 4619050 30 "2006-02-15T00:00:00" NA
"587" "Medina del Campo" "VA102" "Medina del Campo" "045349000W" "411847000N" 727 341205 4575270 30 "2008-06-27T00:00:00" NA
"588" "Rueda" "VA103" "Rueda" "045858000W" "412414000N" 752 334262 4585520 30 "2009-05-05T00:00:00" NA
"589" "Villalón de Campos" "VA104" "Villalón de Campos" "045837810W" "420736910N" 770 336578 4665760 30 "2018-09-25T00:00:00" NA
"590" "Almonacid de la Sierra" "Z01" "Almonacid de la Sierra" "011947000W" "412707000N" 395 639491 4590290 30 "2003-08-05T00:00:00" NA
"591" "Belchite" "Z02" "Belchite" "004317000W" "412101000N" 327 690604 4580150 30 "2003-08-06T00:00:00" NA
"592" "Quinto" "Z03" "Quinto" "003107000W" "412317000N" 239 707465 4584840 30 "2003-08-06T00:00:00" NA
"593" "Fabara" "Z04" "Fabara" "000914000E" "411004000N" 245 764603 4562190 31 "2003-09-16T00:00:00" NA
