"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"82" "Miranda de Ebro" "BU06" "Miranda de Ebro" "025842000W" "424004000N" 491 501767 4723930 30 "2006-07-11T00:00:00" "2006-09-21T00:00:00"
"83" "Santa Gadea del Cid" "BU07" "Santa Gadea del Cid" "030430000W" "424206000N" 525 493844 4727710 30 "2007-06-14T00:00:00" NA
"84" "Valle de Losa" "BU101" "Valle de Losa" "031409000W" "425759000N" 635 480749 4757130 30 "2006-12-29T00:00:00" NA
"85" "Condado de Treviño" "BU102" "Condado de Treviño" "024700000W" "424425000N" 562 517719 4732000 30 "2008-06-27T00:00:00" NA
"86" "A Capela" "C01" "Capela, A" "080317000W" "432652000N" 374 90970.6 4822990 29 "2005-07-05T00:00:00" NA
"87" "Boimorto" "C02" "Boimorto" "080830000W" "430201000N" 412 81094.2 4777420 29 "2005-07-06T00:00:00" NA
"88" "Basurta-Jerez de la Frontera" "CA01" "Jerez de la Frontera" "060102000W" "364525000N" 39 230650 4072170 29 "2000-09-11T00:00:00" NA
"89" "Jerez de la Frontera" "CA02" "Jerez de la Frontera" "060048000W" "363833000N" 17 230594 4059470 29 "2000-09-12T00:00:00" NA
"90" "Sanlúcar de Barrameda" "CA03" "Sanlúcar de Barrameda" "061743000W" "365002000N" 22 206106 4081540 29 "2000-09-12T00:00:00" "2002-12-16T00:00:00"
"91" "Villamartín" "CA04" "Villamartín" "053725000W" "365035000N" 146 266049 4080680 30 "2000-09-13T00:00:00" NA
"92" "Conil de la Frontera" "CA05" "Conil de la Frontera" "060757000W" "361958000N" 22 218803 4025430 29 "2000-09-14T00:00:00" NA
"93" "Vejer de la Frontera" "CA06" "Vejer de la Frontera" "055024000W" "361706000N" 13 244927 4019310 30 "2000-09-14T00:00:00" NA
"94" "Jimena de la Frontera" "CA07" "Jimena de la Frontera" "052301000W" "362449000N" 50 286263 4032470 30 "2000-11-22T00:00:00" NA
"95" "Puerto de Santa María" "CA08" "Puerto de Santa María, El" "060908000W" "363658000N" 20 218061 4056940 29 "2001-04-05T00:00:00" "2010-12-09T00:00:00"
"96" "Sanlúcar de Barrameda" "CA09" "Sanlúcar de Barrameda" "061848000W" "364650000N" 22 204285 4075660 29 "2003-03-24T00:00:00" "2011-12-18T00:00:00"
"97" "Puerto de Santa María" "CA10" "Puerto de Santa María, El" "061017320W" "363615937N" 3 216316.92 4055676.06 29 "2011-04-11T00:00:00" NA
"98" "IFAPA Centro de Chipiona" "CA101" "Chipiona" "062359000W" "364503000N" 7 196448 4072630 29 "2004-08-05T00:00:00" NA
"99" "Sanlúcar de Barrameda" "CA11" "Sanlúcar de Barrameda" "061948000W" "364308000N" 29 202554 4068870 29 "2012-07-31T00:00:00" NA
"100" "Casatejada" "CC01" "Casatejada" "054041000W" "395204000N" 267 270943 4416520 30 "1999-07-12T00:00:00" NA
"101" "Cabezuela del Valle" "CC02" "Cabezuela del Valle" "054725000W" "401208000N" 518 262510 4453950 30 "1999-07-13T00:00:00" "2002-05-12T00:00:00"
"102" "Zarza de Granadilla" "CC03" "Zarza de Granadilla" "060249000W" "401224000N" 383 240676 4455160 29 "1999-07-13T00:00:00" "2011-06-15T00:00:00"
"103" "Aldehuela del Jerte" "CC04" "Aldehuela de Jerte" "061348000W" "400029000N" 269 224276 4433680 29 "1999-07-14T00:00:00" NA
"104" "Moraleja" "CC05" "Moraleja" "064033000W" "400247000N" 252 186396 4439380 29 "1999-07-15T00:00:00" "2006-01-03T00:00:00"
"105" "Coria" "CC06" "Coria" "063244000W" "395841000N" 232 197200 4431350 29 "1999-07-15T00:00:00" "2001-05-21T00:00:00"
"106" "Madrigalejo" "CC07" "Madrigalejo" "053543000W" "390808000N" 293 275671 4335060 30 "1999-08-23T00:00:00" NA
"107" "Valdesalor" "CC08" "Cáceres" "062842000W" "392237000N" 376 200353 4364410 29 "1999-08-29T00:00:00" "2010-01-26T00:00:00"
"108" "Peraleda de la Mata" "CC09" "Peraleda de la Mata" "052750000W" "395139000N" 322 289240 4415250 30 "1999-08-30T00:00:00" NA
"109" "Valdeiñigos-Tejeda de Tíetar" "CC10" "Tejeda de Tiétar" "055136000W" "395736000N" 236 255708 4427240 30 "1999-08-31T00:00:00" NA
"110" "Hurdes-Azabal" "CC101" "Casar de Palomero" "061820000W" "401754000N" 482 219034 4466140 29 "2004-03-18T00:00:00" NA
